Area_Description,2018.0,"Abduction, Harassment and Other Related Offences Against a Person",Acts Intended to Cause Injury,"Robbery, Extortion and Related Offences",Sexual Assault and Related Offences,Theft and Related Offences,"Unlawful Entry With Intent/Burglary, Break and Enter"
Waikowhai,1518.0,0.0,0.0,0.0,0.0,0.0,0.0
Waima-Woodlands Park,882.0,0.0,0.0,0.0,0.0,0.0,0.0
Waimauku,426.0,0.0,5.0,0.0,0.0,22.0,3.0
Wainui-Waiwera,612.0,0.0,0.0,0.0,0.0,0.0,0.0
Waipatukahu,471.0,0.0,0.0,0.0,0.0,0.0,0.0
Wairau Valley,45.0,0.0,0.0,0.0,0.0,0.0,0.0
Waitakere,657.0,0.0,1.0,0.0,1.0,7.0,10.0
Waitakere Ranges,873.0,0.0,0.0,0.0,0.0,0.0,0.0
Waitoki,507.0,0.0,0.0,0.0,0.0,0.0,0.0
Waiuku,1080.0,0.0,14.0,2.0,2.0,143.0,31.0
Warkworth,2085.0,0.0,0.0,0.0,0.0,0.0,0.0
Waterview,1149.0,0.0,9.0,2.0,1.0,101.0,26.0
Wattle Downs,2589.0,0.0,0.0,0.0,0.0,0.0,0.0
Wellsford,654.0,0.0,8.0,2.0,1.0,98.0,22.0
Wesley,1491.0,0.0,0.0,0.0,0.0,0.0,0.0
West Harbour,1272.0,0.0,0.0,0.0,0.0,0.0,0.0
West Harbour Clearwater Cove,1371.0,0.0,0.0,0.0,0.0,0.0,0.0
West Harbour Luckens Point,825.0,0.0,0.0,0.0,0.0,0.0,0.0
West Lynn,1065.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Heights,1281.0,0.0,0.0,0.0,0.0,0.0,0.0
Westgate,579.0,0.0,0.0,0.0,0.0,0.0,0.0
Westlake,1104.0,0.0,40.0,3.0,5.0,236.0,69.0
Westmere,756.0,0.0,0.0,0.0,0.0,0.0,0.0
Westmere-Western Springs,1074.0,0.0,0.0,0.0,0.0,0.0,0.0
Weymouth,2949.0,0.0,23.0,3.0,4.0,99.0,57.0
Whangaparoa,1350.0,0.0,0.0,0.0,0.0,0.0,0.0
Whenuapai,1263.0,0.0,0.0,0.0,0.0,0.0,0.0
Windsor Park,642.0,0.0,15.0,3.0,3.0,232.0,27.0
Wiri,999.0,0.0,0.0,0.0,0.0,0.0,0.0
Wynyard-Viaduct,630.0,0.0,0.0,0.0,0.0,0.0,0.0
