Address,Price,Bedroom,Bathroom,Garage,Other Feature 1,Other Feature 2,Furniture,Type_Apartment,Type_Carpark,Type_House,Type_Studio,Type_Townhouse,Type_Unit,Type_Unknown,Suburb
"2/175a Grey Street, Onehunga, Auckland City",540.0,1,1,1,,,0,0,0,1,0,0,0,0,Onehunga
"206/1 Coden Street, Auckland Central, Auckland City",520.0,1,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"103/9 Rawalpindi Street, Mount Albert, Auckland City",620.0,2,1,1,,,0,1,0,0,0,0,0,0,Mount Albert
"504/43a Gillies Avenue, Newmarket, Auckland City",1150.0,3,2,2,,,0,1,0,0,0,0,0,0,Newmarket
"28C Claude Road, Epsom, Auckland City",1190.0,4,3,3,,,0,0,0,1,0,0,0,0,Epsom
"3/43 Abbotts Way, Remuera, Auckland City",595.0,2,1,2,,,0,0,0,0,0,0,1,0,Remuera
"5/118 Grafton Road, Grafton, Auckland City",325.0,1,1,,,,0,0,0,0,0,0,1,0,Grafton
"3/12 Kipling Avenue, Epsom, Auckland City",810.0,3,2,,,,0,0,0,0,0,0,1,0,Epsom
"A/14 Wheturangi Road, Greenlane, Auckland City",730.0,2,1,,,,0,0,0,1,0,0,0,0,Greenlane
"168B Whitney Street, Blockhouse Bay, Auckland City",745.0,3,1,1,,,0,0,0,0,0,1,0,0,Blockhouse Bay
"26 Eaton road, Hillsborough, Auckland City",850.0,4,2,1,,,0,0,0,1,0,0,0,0,Hillsborough
"6/78 Rosebank Rd, Avondale, Auckland City",430.0,1,1,,,,0,0,0,0,0,0,1,0,Avondale
"42 Kingsview Road, Mount Eden, Auckland City",1400.0,5,2,,,,0,0,0,1,0,0,0,0,Mount Eden
"2/28 Victoria Avenue, Remuera, Auckland City",795.0,2,2,1,,,0,1,0,0,0,0,0,0,Remuera
"2011/11 Liverpool Street , Auckland Central, Auckland City",385.0,1,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"502 Great North Road, Grey Lynn, Auckland City",700.0,3,1,1,,,0,0,0,0,0,1,0,0,Grey Lynn
"6 Magma Crescent, Stonefields, Auckland City",795.0,2,1,,,,0,0,0,1,0,0,0,0,Stonefields
"811/76 Wakefield Street, Auckland Central, Auckland City",550.0,2,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"30A Dromorne Road, Remuera, Auckland City",1150.0,4,2,,,,0,0,0,0,0,1,0,0,Remuera
"3/365 Great South Road, Ellerslie, Auckland City",610.0,2,1,2,,,0,0,0,0,0,0,1,0,Ellerslie
"3D/31 Scanlan Street, Grey Lynn, Auckland City",695.0,2,2,2,1 ensuite,,0,1,0,0,0,0,0,0,Grey Lynn
"5A Pasteur Place, New Windsor, Auckland City",700.0,3,2,1,,,0,0,0,1,0,0,0,0,New Windsor
"24 Paku Lane, Mount Wellington, Auckland City",895.0,4,2,2,,,0,0,0,1,0,0,0,0,Mount Wellington
"A/23 Watea Road, Sandringham, Auckland City",1350.0,5,3,,1 ensuite,,0,0,0,1,0,0,0,0,Sandringham
"26 Old Mill Road , Grey Lynn, Auckland City",2450.0,4,2,2,284m2,,0,0,0,1,0,0,0,0,Grey Lynn
"2/6 Prebble Place, Mission Bay, Auckland City",775.0,3,1,1,,,0,0,0,0,0,0,1,0,Mission Bay
"223B Green Lane West, Epsom, Auckland City",1200.0,2,2,2,1 ensuite,,0,1,0,0,0,0,0,0,Epsom
"10D/156 Vincent Street, Auckland Central, Auckland City",580.0,2,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"2D Delemere Place, Glen Innes, Auckland City",915.0,4,2,2,,,0,0,0,0,0,1,0,0,Glen Innes
"2/165 Tamaki Drive, Kohimarama, Auckland City",1300.0,3,2,1,,,0,1,0,0,0,0,0,0,Kohimarama
"16A Aorere Street, Parnell, Auckland City",960.0,3,2,,,,0,0,0,1,0,0,0,0,Parnell
"3/33 Beckenham Avenue, Royal Oak, Auckland City",890.0,3,3,1,,,0,0,0,0,0,1,0,0,Royal Oak
"5B/132 Vincent Street, Auckland Central, Auckland City",880.0,2,2,,,,0,1,0,0,0,0,0,0,Auckland Central
"336 Hillsborough Road, Hillsborough, Auckland City",780.0,3,2,2,,,0,0,0,1,0,0,0,0,Hillsborough
"89A Alfred Street, Onehunga, Auckland City",795.0,3,2,1,,,0,0,0,0,0,1,0,0,Onehunga
"89B Alfred Street, Onehunga, Auckland City",995.0,4,3,2,,,0,0,0,0,0,1,0,0,Onehunga
"15/533 Manukau Road, Epsom, Auckland City",650.0,2,1,1,,,0,1,0,0,0,0,0,0,Epsom
"409/4 Dockside Lane, Auckland Central, Auckland City",580.0,2,1,1,,,0,1,0,0,0,0,0,0,Auckland Central
"15 Hillsborough Road, Hillsborough, Auckland City",1400.0,6,5,,1,279m2,0,0,0,1,0,0,0,0,Hillsborough
"66A Albrecht Avenue, Mount Roskill, Auckland City",720.0,3,1,,,,0,0,0,1,0,0,0,0,Mount Roskill
"6 Fontenoy Street, Mount Albert, Auckland City",850.0,3,2,2,1 ensuite,,0,0,0,1,0,0,0,0,Mount Albert
"38A Kinross Street, Blockhouse Bay, Auckland City",700.0,3,1,2,,,0,0,0,1,0,0,0,0,Blockhouse Bay
"15/3 Sherbourne Road, Mount Eden, Auckland City",550.0,1,1,1,,,0,0,0,0,0,0,1,0,Mount Eden
"5D/18 Cranbrook Place, Glendowie, Auckland City",755.0,3,1,2,90m2,,0,0,0,1,0,0,0,0,Glendowie
"52B King George Avenue, Epsom, Auckland City",1400.0,5,3,3,,,0,0,0,1,0,0,0,0,Epsom
"3/21 Montrose St, Point Chevalier, Auckland City",450.0,1,1,,New build,,0,1,0,0,0,0,0,0,Point Chevalier
"72 Nelson Street, Auckland Central, Auckland City",475.0,2,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"72 Nelson Street, Auckland Central, Auckland City",375.0,1,1,,,,0,1,0,0,0,0,0,0,Auckland Central
"2B/2 White Street, Auckland Central, Auckland City",nan,2,1,,,,1,1,0,0,0,0,0,0,Auckland Central
"1 Swinburne Street, Blockhouse Bay, Auckland City",1255.0,6,4,5,,,0,0,0,1,0,0,0,0,Blockhouse Bay
